,P,Y,Ptest,Ytest
51,,,-4.9,-0.347033269
52,,,-4.8,-0.344040634
53,,,-4.7,-0.34104963
54,,,-4.6,-0.338060618
55,,,-4.5,-0.335074037
56,,,-4.4,-0.332090426
57,,,-4.3,-0.329110443
58,,,-4.2,-0.32613489
59,,,-4.1,-0.323164747
60,,,-4,-0.32020121
61,,,-3.9,-0.31724574
62,,,-3.8,-0.314300121
63,,,-3.7,-0.311366528
64,,,-3.6,-0.308447617
65,,,-3.5,-0.305546631
66,,,-3.4,-0.302667522
67,,,-3.3,-0.299815112
68,,,-3.2,-0.296995281
69,,,-3.1,-0.294215192
70,,,-3,-0.291483574
71,,,-2.9,-0.28881105
72,,,-2.8,-0.286210544
73,,,-2.7,-0.283697764
74,,,-2.6,-0.281291779
75,,,-2.5,-0.279015711
76,,,-2.4,-0.276897543
77,,,-2.3,-0.274971081
78,,,-2.2,-0.273277061
79,,,-2.1,-0.271864419
80,,,-2,-0.270791726
81,,,-1.9,-0.270128763
82,,,-1.8,-0.269958196
83,,,-1.7,-0.270377279
84,,,-1.6,-0.271499434
85,,,-1.5,-0.273455524
86,,,-1.4,-0.276394506
87,,,-1.3,-0.280483052
88,,,-1.2,-0.285903618
89,,,-1.1,-0.292850293
90,,,-1,-0.301521753
91,,,-0.9,-0.312110639
92,,,-0.8,-0.324788969
93,,,-0.7,-0.339689667
94,,,-0.6,-0.35688513
95,,,-0.5,-0.376364853
96,,,-0.4,-0.398015309
97,,,-0.3,-0.42160591
98,,,-0.2,-0.446742006
99,,,-0.1,-0.466406751
100,,,-3.55271E-14,-4.34497E-13
101,,,0.1,0.466406751
102,,,0.2,0.446742006
103,,,0.3,0.42160591
104,,,0.4,0.398015309
105,,,0.5,0.376364853
106,,,0.6,0.35688513
107,,,0.7,0.339689667
108,,,0.8,0.324788969
109,,,0.9,0.312110639
110,,,1,0.301521753
111,,,1.1,0.292850293
112,,,1.2,0.285903618
113,,,1.3,0.280483052
114,,,1.4,0.276394506
115,,,1.5,0.273455524
116,,,1.6,0.271499434
117,,,1.7,0.270377279
118,,,1.8,0.269958196
119,,,1.9,0.270128763
120,,,2,0.270791726
121,,,2.1,0.271864419
122,,,2.2,0.273277061
123,,,2.3,0.274971081
124,,,2.4,0.276897543
125,,,2.5,0.279015711
126,,,2.6,0.281291779
127,,,2.7,0.283697764
128,,,2.8,0.286210544
129,,,2.9,0.28881105
130,,,3,0.291483574
131,,,3.1,0.294215192
132,,,3.2,0.296995281
133,,,3.3,0.299815112
134,,,3.4,0.302667522
135,,,3.5,0.305546631
136,,,3.6,0.308447617
137,,,3.7,0.311366528
138,,,3.8,0.314300121
139,,,3.9,0.31724574
140,,,4,0.32020121
141,,,4.1,0.323164747
142,,,4.2,0.32613489
143,,,4.3,0.329110443
144,,,4.4,0.332090426
145,,,4.5,0.335074037
146,,,4.6,0.338060618
147,,,4.7,0.34104963
148,,,4.8,0.344040634
149,,,4.9,0.347033269
150,,,5,0.350027239
151,,,5.1,0.353022301
152,,,5.2,0.356018259
153,,,5.3,0.359014949
154,,,5.4,0.362012239
155,,,5.5,0.365010021
156,,,5.6,0.368008204
157,,,5.7,0.371006717
158,,,5.8,0.3740055
159,,,5.9,0.377004503
160,,,6,0.380003687
161,,,6.1,0.383003018
162,,,6.2,0.386002471
163,,,6.3,0.389002023
164,,,6.4,0.392001656
165,,,6.5,0.395001356
166,,,6.6,0.39800111
167,,,6.7,0.401000909
168,,,6.8,0.404000744
169,,,6.9,0.407000609
170,,,7,0.410000499
171,,,7.1,0.413000408
172,,,7.2,0.416000334
173,,,7.3,0.419000274
174,,,7.4,0.422000224
175,,,7.5,0.425000184
176,,,7.6,0.42800015
177,,,7.7,0.431000123
178,,,7.8,0.434000101
179,,,7.9,0.437000082
180,,,8,0.440000068
181,,,8.1,0.443000055
182,,,8.2,0.446000045
183,,,8.3,0.449000037
184,,,8.4,0.45200003
185,,,8.5,0.455000025
186,,,8.6,0.45800002
187,,,8.7,0.461000017
188,,,8.8,0.464000014
189,,,8.9,0.467000011
190,,,9,0.470000009
191,,,9.1,0.473000007
192,,,9.2,0.476000006
193,,,9.3,0.479000005
194,,,9.4,0.482000004
195,,,9.5,0.485000003
196,,,9.6,0.488000003
197,,,9.7,0.491000002
198,,,9.8,0.494000002
199,,,9.9,0.497000002
200,,,10,0.500000001
